category,cost ,material,materialpreference,shelflifemonths,size,sustainabilityscore,volumeinlitres
Food Packaging,10.04,Biodegradable Plastic,Biodegradable,1,Large,1,0.5
Food Packaging,98.37,Biodegradable Foam,Biodegradable,17,Large,1,5
Food Packaging,51.3,Recycled Cardboard,Recyclable,17,Medium,0.85,5
Food Packaging,11.52,Recycled Cardboard,Recyclable,3,Medium,0.85,1
Food Packaging,3.67,Biodegradable Foam,Biodegradable,2,Small,0.85,0.5
Food Packaging,9.69,Recycled Cardboard,Recyclable,3,Medium,0.9,1
Food Packaging,400.04,Paper,Recyclable,38,Large,0.95,20
Food Packaging,101.68,Biodegradable Plastic,Biodegradable,7,Large,0.95,5
Food Packaging,201.13,Paper,Recyclable,56,Medium,0.7,20
Food Packaging,25.86,Aluminum,Recyclable,22,Small,0.85,5
Food Packaging,198.22,Biodegradable Foam,Biodegradable,25,Medium,0.95,20
Food Packaging,4.62,Aluminum,Recyclable,1,Small,0.7,1
Food Packaging,1.38,Biodegradable Plastic,Biodegradable,1,Small,0.9,0.5
Food Packaging,26.31,Glass,Recyclable,8,Small,0.9,5
Food Packaging,21.94,Aluminum,Recyclable,9,Medium,0.9,2
Food Packaging,0.81,Aluminum,Recyclable,1,Small,0.7,0.5
Food Packaging,20.03,Biodegradable Plastic,Biodegradable,7,Medium,1,2
Food Packaging,5.8,Biodegradable Plastic,Biodegradable,2,Medium,0.95,0.5
Food Packaging,10.53,Biodegradable Plastic,Biodegradable,5,Medium,0.7,1
Food Packaging,21.98,Biodegradable Plastic,Biodegradable,4,Medium,0.7,2
Food Packaging,199.52,Biodegradable Foam,Biodegradable,74,Medium,0.9,20
Food Packaging,3.47,Aluminum,Recyclable,1,Small,0.95,0.5
Food Packaging,25.51,Aluminum,Recyclable,8,Small,0.95,5
Food Packaging,98.84,Paper,Recyclable,37,Medium,0.85,10
Food Packaging,2.58,Biodegradable Foam,Biodegradable,1,Small,1,0.5
Food Packaging,198.1,Recycled Cardboard,Recyclable,45,Large,0.7,10
Food Packaging,99.99,Glass,Recyclable,17,Large,0.7,5
Food Packaging,5.62,Paper,Recyclable,2,Small,0.8,1
Food Packaging,40.98,Glass,Recyclable,9,Large,0.95,2
Food Packaging,51.95,Biodegradable Foam,Biodegradable,7,Medium,0.85,5
Food Packaging,99.4,Glass,Recyclable,37,Medium,0.85,10
Food Packaging,0.91,Biodegradable Plastic,Biodegradable,1,Small,0.7,0.5
Food Packaging,24.64,Glass,Recyclable,21,Small,0.7,5
Food Packaging,99.09,Biodegradable Plastic,Biodegradable,15,Medium,0.9,10
Food Packaging,40.78,Aluminum,Recyclable,4,Large,0.7,2
Food Packaging,101.04,Glass,Recyclable,94,Small,0.8,20
Food Packaging,201.2,Biodegradable Plastic,Biodegradable,34,Large,0.7,10
Food Packaging,4.15,Glass,Recyclable,1,Medium,0.7,0.5
Food Packaging,200.63,Aluminum,Recyclable,44,Large,0.8,10
Food Packaging,199.85,Aluminum,Recyclable,20,Medium,0.85,20
Food Packaging,18.15,Recycled Cardboard,Recyclable,3,Large,0.95,1
Food Packaging,201.14,Recycled Cardboard,Recyclable,24,Large,0.8,10
Food Packaging,18.5,Recycled Cardboard,Recyclable,2,Large,0.95,1
Food Packaging,101.71,Biodegradable Plastic,Biodegradable,29,Medium,0.8,10
Food Packaging,5.44,Paper,Recyclable,5,Small,1,1
Food Packaging,4.23,Biodegradable Foam,Biodegradable,1,Small,0.9,0.5
Food Packaging,8.06,Glass,Recyclable,1,Large,0.85,0.5
Food Packaging,6.08,Paper,Recyclable,5,Small,0.95,1
Food Packaging,401.76,Recycled Cardboard,Recyclable,47,Large,1,20
Food Packaging,399.75,Biodegradable Plastic,Biodegradable,81,Large,0.8,20
Food Packaging,3.97,Glass,Recyclable,1,Medium,1,0.5
Food Packaging,25.55,Recycled Cardboard,Recyclable,19,Small,0.95,5
Food Packaging,198.29,Biodegradable Foam,Biodegradable,64,Medium,0.95,20
Food Packaging,399.8,Paper,Recyclable,22,Large,0.85,20
Food Packaging,11.95,Biodegradable Foam,Biodegradable,3,Small,0.8,2
Food Packaging,199.09,Paper,Recyclable,34,Large,0.7,10
Food Packaging,201.02,Aluminum,Recyclable,27,Large,0.95,10
Food Packaging,5.84,Aluminum,Recyclable,4,Small,0.85,1
Food Packaging,4.22,Biodegradable Plastic,Biodegradable,2,Medium,0.7,0.5
Food Packaging,21.13,Biodegradable Foam,Biodegradable,3,Large,1,1
Food Packaging,0.6,Recycled Cardboard,Recyclable,2,Small,0.9,0.5
Food Packaging,21.73,Glass,Recyclable,4,Large,0.9,1
Food Packaging,1.66,Aluminum,Recyclable,1,Small,0.8,0.5
Food Packaging,39.56,Biodegradable Foam,Biodegradable,7,Large,1,2
Food Packaging,18.67,Biodegradable Foam,Biodegradable,9,Medium,1,2
Food Packaging,98.65,Biodegradable Foam,Biodegradable,45,Medium,0.8,10
Food Packaging,401.75,Biodegradable Plastic,Biodegradable,78,Large,0.85,20
Food Packaging,98.87,Aluminum,Recyclable,20,Large,1,5
Food Packaging,11.57,Paper,Recyclable,9,Small,0.9,2
Food Packaging,198.72,Biodegradable Foam,Biodegradable,31,Large,0.7,10
Food Packaging,4.67,Biodegradable Foam,Biodegradable,2,Medium,0.9,0.5
Food Packaging,201.87,Aluminum,Recyclable,82,Medium,0.8,20
Food Packaging,21.46,Glass,Recyclable,6,Medium,0.85,2
Food Packaging,20.07,Aluminum,Recyclable,5,Medium,0.8,2
Food Packaging,0.67,Recycled Cardboard,Recyclable,1,Small,0.8,0.5
Food Packaging,9.54,Aluminum,Recyclable,5,Small,0.95,2
Food Packaging,48.37,Aluminum,Recyclable,24,Medium,0.95,5
Food Packaging,98.78,Paper,Recyclable,21,Small,0.85,20
Food Packaging,98.3,Biodegradable Foam,Biodegradable,17,Large,0.7,5
Food Packaging,100.69,Recycled Cardboard,Recyclable,20,Large,0.85,5
Food Packaging,21.61,Recycled Cardboard,Recyclable,5,Large,0.9,1
Food Packaging,98.75,Recycled Cardboard,Recyclable,16,Large,0.9,5
Food Packaging,101.75,Biodegradable Plastic,Biodegradable,20,Large,0.9,5
Food Packaging,39.14,Aluminum,Recyclable,5,Large,1,2
Food Packaging,11.53,Recycled Cardboard,Recyclable,5,Small,0.9,2
